ASMID,ORIG SPECIES,MODIFIED SPECIES,ORIG STRAIN,MODIFIED STRAIN
GCA_040804775.1_ASM4080477v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75296,BRIP75296
GCA_040804765.1_ASM4080476v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75297,BRIP75297
GCA_040804755.1_ASM4080475v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75299,BRIP75299
GCA_040804685.1_ASM4080468v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75300,BRIP75300
GCA_040762915.1_ASM4076291v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75301,BRIP75301
GCA_040804735.1_ASM4080473v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75302,BRIP75302
GCA_040804705.1_ASM4080470v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75303,BRIP75303
GCA_040804715.1_ASM4080471v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75304,BRIP75304
GCA_040804665.1_ASM4080466v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75305,BRIP75305
GCA_040804625.1_ASM4080462v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75308,BRIP75308
GCA_040804585.1_ASM4080458v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75309,BRIP75309
GCA_040805795.1_ASM4080579v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75387,BRIP75387
GCA_040762895.1_ASM4076289v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75388,BRIP75388
GCA_040805775.1_ASM4080577v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75389,BRIP75389
GCA_040762995.1_ASM4076299v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75390,BRIP75390
GCA_040805755.1_ASM4080575v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75391,BRIP75391
GCA_040804555.1_ASM4080455v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75393,BRIP75393
GCA_040762855.1_ASM4076285v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75394,BRIP75394
GCA_040804575.1_ASM4080457v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75395,BRIP75395
GCA_040804565.1_ASM4080456v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75396,BRIP75396
GCA_040762875.1_ASM4076287v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75398,BRIP75398
GCA_040804545.1_ASM4080454v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75399,BRIP75399
GCA_040804495.1_ASM4080449v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75401,BRIP75401
GCA_040804475.1_ASM4080447v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75402,BRIP75402
GCA_040805415.1_ASM4080541v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75403,BRIP75403
GCA_040804435.1_ASM4080443v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75404,BRIP75404
GCA_040804455.1_ASM4080445v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75405,BRIP75405
GCA_040805515.1_ASM4080551v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP75406,BRIP75406
GCA_027604835.1_ASM2760483v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74427,BRIP 74427
GCA_027604875.1_ASM2760487v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74429,BRIP 74429
GCA_027604855.1_ASM2760485v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74430,BRIP 74430
GCA_027604815.1_ASM2760481v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74431,BRIP 74431
GCA_027604765.1_ASM2760476v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74432,BRIP 74432
GCA_027604795.1_ASM2760479v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,BRIP:74433,BRIP 74433
GCA_040805355.1_ASM4080535v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ01-01,POZ01-01
GCA_040804485.1_ASM4080448v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ13-2,POZ13-2
GCA_040804415.1_ASM4080441v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ14-1,POZ14-1
GCA_040762825.1_ASM4076282v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ14-3,POZ14-3
GCA_040762785.1_ASM4076278v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ14-4,POZ14-4
GCA_040804395.1_ASM4080439v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ16-1,POZ16-1
GCA_040804335.1_ASM4080433v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ16-3,POZ16-3
GCA_040805525.1_ASM4080552v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ17-3,POZ17-3
GCA_040804295.1_ASM4080429v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ18-1,POZ18-1
GCA_040804315.1_ASM4080431v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ18-3,POZ18-3
GCA_040804355.1_ASM4080435v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ19-1,POZ19-1
GCA_040670015.1_ASM4067001v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ19-2,POZ19-2
GCA_040805735.1_ASM4080573v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ20-2,POZ20-2
GCA_040804375.1_ASM4080437v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ20-3,POZ20-3
GCA_040805375.1_ASM4080537v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ32-1,POZ32-1
GCA_040804245.1_ASM4080424v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ36-3,POZ36-3
GCA_040804235.1_ASM4080423v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ36-4,POZ36-4
GCA_040805395.1_ASM4080539v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ37-1,POZ37-1
GCA_040804215.1_ASM4080421v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ38-2,POZ38-2
GCA_040804205.1_ASM4080420v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ38-3,POZ38-3
GCA_040804195.1_ASM4080419v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ38-4,POZ38-4
GCA_040804135.1_ASM4080413v1,Psilocybe subaeruginosa,Psilocybe subaeruginosa,POZ38-5,POZ38-5
GCA_019908695.1_ASM1990869v1,Psilocybe tampanensis,Psilocybe tampanensis,sample1,sample1
GCA_019908715.1_ASM1990871v1,Psilocybe tampanensis,Psilocybe tampanensis,sample2,sample2
GCA_019904355.1_ASM1990435v1,Psilocybe tampanensis,Psilocybe tampanensis,sample3,sample3
GCA_040207405.1_EGAP_PsZap_1,Psilocybe zapotecorum,Psilocybe zapotecorum,36797577_XRCPCJ01_C1_3,36797577_XRCPCJ01_C1_3
GCA_051942185.1_KEW_Pscr,Psora crenata,Psora crenata,LIQ215PSCR,LIQ215PSCR
GCA_051942125.1_KEW_Prte,Psora testacea,Psora testacea,LIQ108PROTE,LIQ108PROTE
GCA_900068985.1_Pterula_subulata-8,Pterula multifida,Pterula multifida,,
GCA_004369125.1_Ptegra1,Pterulicium gracile,Pterulicium gracile,CBS 309.79,CBS 309.79
GCA_964257075.1_private_T1868_concoct_bin.12,Ptychographa xylographoides,Ptychographa xylographoides,,
GCA_022814105.1_ASM2281410v1,Ptychographa xylographoides,Ptychographa xylographoides,T1868,T1868
GCA_001013415.1_ASM101341v1,Puccinia arachidis,Puccinia arachidis,MRf11,MRf11
GCA_019395275.1_ASM1939527v1,Puccinia brachypodii,Puccinia brachypodii,F-Fl,F-Fl
GCA_002873275.1_ASM287327v1,Puccinia coronata f. sp. avenae,Puccinia coronata f. sp. avenae,12NC29,12NC29
GCA_002873125.1_ASM287312v1,Puccinia coronata,Puccinia coronata,12SD80,12SD80
GCA_903797515.1_Puccinia_graminis_f._sp._tritici_UK-01,Puccinia graminis f. sp. tritici,Puccinia graminis f. sp. tritici,,
GCA_008522505.1_Pgt_210,Puccinia graminis f. sp. tritici,Puccinia graminis f. sp. tritici,21-0,21-0
GCA_002762355.2_KSU_Pgt_99KS76A_2.0,Puccinia graminis f. sp. tritici,Puccinia graminis f. sp. tritici,RKQQC,RKQQC
GCA_008520325.1_Pgt_Ug99,Puccinia graminis,Puccinia graminis,Ug99,Ug99
GCF_000149925.1_ASM14992v1,Puccinia graminis,Puccinia graminis,CRL 75-36-700-3,CRL 75-36-700-3
GCA_007896445.1_ASM789644v1,Puccinia hordei,Puccinia hordei,560,560
GCA_001624995.1_ASM162499v1,Puccinia horiana,Puccinia horiana,SC2014G01,SC2014G01
GCA_004348175.1_PNOVO_Noble_KM,Puccinia novopanici,Puccinia novopanici,Ard-01,Ard-01
GCA_025617555.3_ASM2561755v3,Puccinia polysora,Puccinia polysora,GD1913,GD1913
GCA_050655635.1_ASM5065563v1,Puccinia silphii,Puccinia silphii,20SaKS_TLI001,20SaKS_TLI001
GCA_001263375.1_ASM126337v1,Puccinia sorghi,Puccinia sorghi,RO10H11247,RO10H11247
GCA_004194325.1_ASM419432v1,Puccinia striiformis,Puccinia striiformis,11-281,11-281
GCA_002920065.1_ASM292006v1,Puccinia striiformis,Puccinia striiformis,93-210,93-210
GCA_002920205.1_ASM292020v1,Puccinia striiformis,Puccinia striiformis,93TX-2,93TX-2
GCA_002008925.1_ASM200892v1,Puccinia striiformis,Puccinia striiformis,Race 31,Race 31
GCA_002008935.1_ASM200893v1,Puccinia striiformis,Puccinia striiformis,Race K,Race K
GCA_002008965.1_ASM200896v1,Puccinia striiformis,Puccinia striiformis,Race Yr9,Race Yr9
GCA_056747115.1_Psh_NP85002_hap2_assembly,Puccinia striiformis,Puccinia striiformis,NP85002,NP85002
GCA_002900275.1_PucStrE137Aminus_diploid_v1.0,Puccinia striiformis f. sp. tritici,Puccinia striiformis f. sp. tritici,104 E137 A-,104 E137 A
GCF_021901695.1_Pst134E36_v1_pri,Puccinia striiformis f. sp. tritici,Puccinia striiformis f. sp. tritici,134E16A+17+33+,134E16A1733
GCA_001936605.2_ASM193660v2,Puccinia striiformis f. sp. tritici,Puccinia striiformis f. sp. tritici,38S102,38S102
GCA_025169555.1_ASM2516955v1,Puccinia striiformis f. sp. tritici,Puccinia striiformis f. sp. tritici,93-210,93-210
GCA_039519205.1_ASM3951920v1,Puccinia striiformis f. sp. tritici,Puccinia striiformis f. sp. tritici,AZ2,AZ2
GCA_025169535.1_ASM2516953v1,Puccinia striiformis f. sp. tritici,Puccinia striiformis f. sp. tritici,CYR34,CYR34
GCA_011750625.1_ASM1175062v1,Puccinia striiformis,Puccinia striiformis,DK09_11,DK09_11
GCA_000342565.1_PST_08_21_v01,Puccinia striiformis,Puccinia striiformis,08-21,08-21
GCA_000342625.1_PST_87_7_v01,Puccinia striiformis,Puccinia striiformis,87-7,87-7
GCA_000474995.1_Cy321.0,Puccinia striiformis,Puccinia striiformis,CY32,CY32
GCA_000223505.1_PST-130_1.0,Puccinia striiformis,Puccinia striiformis,PST-130,PST-130
GCA_001191645.1_P_striiformis_V1,Puccinia striiformis,Puccinia striiformis,race PST-78,race PST-78
GCA_000342545.1_PST21_v01,Puccinia striiformis,Puccinia striiformis,PST21,PST21
GCA_000342525.1_PST43_v01,Puccinia striiformis,Puccinia striiformis,PST43,PST43
GCA_977970215.1_P.triticina_R9_M6,Puccinia triticina,Puccinia triticina,,
GCA_029633885.1_Pt_19NSW04,Puccinia triticina,Puccinia triticina,19NSW04,19NSW04
GCA_029634005.1_20QLD87,Puccinia triticina,Puccinia triticina,20QLD87,20QLD87
GCF_026914185.1_ASM2691418v1,Puccinia triticina,Puccinia triticina,Pt15,Pt15
GCA_019358815.1_Pt76_Chrs,Puccinia triticina,Puccinia triticina,Pt76,Pt76
GCA_013090125.1_ASM1309012v1,Puccinia triticina,Puccinia triticina,S423,S423
GCA_029618625.1_ASM2961862v1,Puccinia triticina,Puccinia triticina,WLR473,WLR473
GCA_000151525.2_P_triticina_1_1_V2,Puccinia triticina,Puccinia triticina,1-1 BBBD Race 1,1-1 BBBD Race 1
GCA_001706785.1_PuccTri106_1.0,Puccinia triticina,Puccinia triticina,Race 106,Race 106
GCA_001706745.1_ASM170674v1,Puccinia triticina,Puccinia triticina,Race 77,Race 77
GCA_038089795.1_NY575842-Boletus-neoregius,Pulchroboletus neoregius,Pulchroboletus neoregius,NY575842,NY575842
GCA_038094595.1_BD784-Pulveroboletus-sp1,Pulveroboletus aff. annulatus,Pulveroboletus aff. annulatus,UT-M0000386,UT-M0000386
GCA_038094195.1_BD870-Pulveroboletus-sp2,Pulveroboletus aff. carminiporus,Pulveroboletus aff. carminiporus,UT-M0000361,UT-M0000361
GCA_038094035.1_BTNG24,Pulveroboletus aff. ridleyi,Pulveroboletus aff. ridleyi,TRTC175146,TRTC175146
GCA_038088935.1_TH9221-Pulveroboletus-viridisquamosus,Pulveroboletus aff. viridisquamosus,Pulveroboletus aff. viridisquamosus,G4423,G4423
GCA_038094155.1_BD872-Tylopilus-sp7,Pulveroboletus cf. aberrans,Pulveroboletus cf. aberrans,UT-M0000365,UT-M0000365
GCA_038089275.1_TH10065-Pulveroboletus-cf-rosemariae,Pulveroboletus cf. rosaemariae,Pulveroboletus cf. rosaemariae,G4403,G4403
GCA_038090515.1_Mulu38-Pulveroboletus-cf-viridisquamosus,Pulveroboletus cf. viridisquamosus,Pulveroboletus cf. viridisquamosus,KM173163,KM173163
GCA_038089395.1_SB01-Pulveroboletus-frians,Pulveroboletus frians,Pulveroboletus frians,UT-M0002064,UT-M0002064
GCA_038093695.1_frians-sarawak,Pulveroboletus frians,Pulveroboletus frians,UT-M0002075,UT-M0002075
GCA_003316545.1_ASM331654v1,Pulveroboletus ravenelii,Pulveroboletus ravenelii,MG41,MG41
GCA_038090235.1_NY2072397-Pulveroboletus-ravenelii,Pulveroboletus ravenelii,Pulveroboletus ravenelii,NY2072397,NY2072397
GCA_038090135.1_NY237215,Pulveroboletus ravenelii,Pulveroboletus ravenelii,NY237215,NY237215
GCA_038089355.1_SWK188-Pulveroboletus-cf-ridleyi,Pulveroboletus ridleyi,Pulveroboletus ridleyi,TRTC168367,TRTC168367
GCA_041722075.1_Mulu15-Pulveroboletus-aff-icterinus,Pulveroboletus sp. KM172995,Pulveroboletus sp. KM172995,KM172995,KM172995
GCA_041722015.1_Mulu29-Pulveroboletus-aff-icterinus,Pulveroboletus sp. KM173101,Pulveroboletus sp. KM173101,KM173101,KM173101
GCA_041722555.1_BTNG34,Pulveroboletus sp. TRTC175156,Pulveroboletus sp. TRTC175156,TRTC175156,TRTC175156
GCA_964256225.1_public_SRR14722169_metabat2_bin.6,Punctelia appalachensis,Punctelia appalachensis,,
GCA_964254955.1_private_VT16_concoct_bin.11,Punctelia caseana,Punctelia caseana,,
GCF_000264995.1_Punctularia_strigosozonata_v1.0,Punctularia strigosozonata,Punctularia strigosozonata,HHB-11173 SS5,HHB-11173 SS5
GCA_029168975.1_ASM2916897v1,Purpureocillium lavendulum,Purpureocillium lavendulum,YMF1.00683,YMF1.00683
GCA_003144605.1_ASM314460v1,Purpureocillium lilacinum,Purpureocillium lilacinum,36-1,36-1
GCA_033847395.1_Purlil1,Purpureocillium lilacinum,Purpureocillium lilacinum,CBS 150709,CBS 150709
GCF_023168085.1_PurlilCBS_1.0,Purpureocillium lilacinum,Purpureocillium lilacinum,CBS 284.36,CBS 284.36
GCA_051529275.1_YNP55,Purpureocillium lilacinum,Purpureocillium lilacinum,DSM 846,DSM 846
GCA_054134455.1_Purpureocillium_lilacinum_Ento1_v1,Purpureocillium lilacinum,Purpureocillium lilacinum,Ento1,Ento1
GCA_042920535.1_ASM4292053v1,Purpureocillium lilacinum,Purpureocillium lilacinum,FDZ8Y1,FDZ8Y1
GCA_051402975.1_ASM5140297v1,Purpureocillium lilacinum,Purpureocillium lilacinum,HSDZ,HSDZ
GCA_023168115.2_PurlilIFM63780_1.0,Purpureocillium lilacinum,Purpureocillium lilacinum,IFM 63780,IFM 63780
GCA_030777725.1_ASM3077772v1,Purpureocillium lilacinum,Purpureocillium lilacinum,MBC 002,MBC 002
GCA_030772975.1_ASM3077297v1,Purpureocillium lilacinum,Purpureocillium lilacinum,MBC 109,MBC 109
GCA_046452455.1_ASM4645245v1,Purpureocillium lilacinum,Purpureocillium lilacinum,NCHU-NPUST-175,NCHU-NPUST-175
GCA_001653205.1_ASM165320v1,Purpureocillium lilacinum,Purpureocillium lilacinum,PLBJ-1,PLBJ-1
GCF_001653265.1_ASM165326v1,Purpureocillium lilacinum,Purpureocillium lilacinum,PLFJ-1,PLFJ-1
GCA_004026395.1_ASM402639v1,Purpureocillium lilacinum,Purpureocillium lilacinum,S2_003_000R1,S2_003_000R1
GCA_004026455.1_ASM402645v1,Purpureocillium lilacinum,Purpureocillium lilacinum,S2_018_006G1,S2_018_006G1
GCA_001468795.1_ASM146879v1,Purpureocillium lilacinum,Purpureocillium lilacinum,TERIBC 1,TERIBC 1
GCA_050872005.1_ASM5087200v1,Purpureocillium sp. XYC-2025d,Purpureocillium sp. XYC-2025d,RCEF7731,RCEF7731
GCF_022605165.1_ASM2260516v1,Purpureocillium takamizusanense,Purpureocillium takamizusanense,PT3,PT3
GCA_964257365.1_private_T1888_metabat2_bin.51,Puttea exsequens,Puttea exsequens,,
GCA_022814085.1_ASM2281408v1,Puttea exsequens,Puttea exsequens,T1888,T1888
GCA_026026765.1_ASM2602676v1,Pycnora praestabilis,Pycnora praestabilis,Spribille s.n. 21.07.2019-TS-e1952,Spribille s.n. 21.07.2019-TS-e1952
GCA_001644535.1_Pyrsp1,Pyrenochaeta sp. DS3sAY3a,Pyrenochaeta sp. DS3sAY3a,DS3sAY3a,DS3sAY3a
GCA_020747015.1_Pyrly1,Pyrenochaeta sp. MPI-SDFR-AT-0127,Pyrenochaeta sp. MPI-SDFR-AT-0127,MPI-SDFR-AT-0127,MPI-SDFR-AT-0127
GCA_000359685.2_ASM35968v2,Pyrenochaeta sp. UM 256,Pyrenochaeta sp. UM 256,UM 256,UM 256
GCA_051941465.1_KEW_Pysp2,Pyrenodesmia sp. 2 TL-2023,Pyrenodesmia sp. 2 TL-2023,LIQ192CASP,LIQ192CASP
GCA_051941895.1_KEW_Pysp3,Pyrenodesmia sp. 3 TL-2023,Pyrenodesmia sp. 3 TL-2023,LIQ232PYVA,LIQ232PYVA
GCA_958299125.1_Pyrenopeziza_brassicae_15WOSR64-SS1,Pyrenopeziza brassicae,Pyrenopeziza brassicae,,
GCA_012365135.1_ASM1236513v1,Pyrenophora graminea,Pyrenophora graminea,CBS 336.29,CBS 336.29
GCA_000465215.2_Pysem1.0,Pyrenophora seminiperda,Pyrenophora seminiperda,CCB06,CCB06
GCA_025504615.1_ASM2550461v1,Pyrenophora teres,Pyrenophora teres,HRS10128,HRS10128
GCA_020027095.1_ASM2002709v1,Pyrenophora teres,Pyrenophora teres,LQA,LQA
GCA_025504625.1_ASM2550462v1,Pyrenophora teres,Pyrenophora teres,Ptm14015,Ptm14015
GCA_025504605.1_ASM2550460v1,Pyrenophora teres,Pyrenophora teres,Ptt12013,Ptt12013
GCA_025504585.1_ASM2550458v1,Pyrenophora teres,Pyrenophora teres,SNB172,SNB172
GCA_025495205.1_100x,Pyrenophora teres,Pyrenophora teres,WAC10721,WAC10721
GCA_014334755.1_ASM1433475v1,Pyrenophora teres f. maculata,Pyrenophora teres f. maculata,DEN2.6,DEN2.6
GCA_014334795.1_ASM1433479v1,Pyrenophora teres f. maculata,Pyrenophora teres f. maculata,FGOB10Ptm-1,FGOB10Ptm-1
GCA_014334775.1_ASM1433477v1,Pyrenophora teres f. maculata,Pyrenophora teres f. maculata,NZKF2,NZKF2
GCA_014334815.1_ASM1433481v1,Pyrenophora teres f. maculata,Pyrenophora teres f. maculata,P-A14,P-A14
GCA_900231935.2_ERZ478497,Pyrenophora teres,Pyrenophora teres,SG1,SG1
GCA_008086755.1_ASM808675v1,Pyrenophora teres f. teres,Pyrenophora teres f. teres,15A,15A
GCA_008086725.1_ASM808672v1,Pyrenophora teres f. teres,Pyrenophora teres f. teres,6A,6A
GCA_008086785.1_ASM808678v1,Pyrenophora teres f. teres,Pyrenophora teres f. teres,BB25,BB25
GCA_008086845.1_ASM808684v1,Pyrenophora teres f. teres,Pyrenophora teres f. teres,FGOH04Ptt-21,FGOH04Ptt-21
GCA_009728645.1_ASM972864v1,Pyrenophora teres f. teres,Pyrenophora teres f. teres,HRS9122,HRS9122
GCA_009728635.1_ASM972863v1,Pyrenophora teres f. teres,Pyrenophora teres f. teres,HRS9139,HRS9139
GCA_031213615.1_MorSM40-3,Pyrenophora teres f. teres,Pyrenophora teres f. teres,MorSM40-3,MorSM40-3
GCA_009728665.1_ASM972866v1,Pyrenophora teres f. teres,Pyrenophora teres f. teres,NB29,NB29
GCA_009728655.1_ASM972865v1,Pyrenophora teres f. teres,Pyrenophora teres f. teres,NB73,NB73
GCA_009728675.1_ASM972867v1,Pyrenophora teres f. teres,Pyrenophora teres f. teres,NB85,NB85
GCA_900232045.3_PTTW11,Pyrenophora teres,Pyrenophora teres,W1-1,W1-1
GCF_000166005.1_PyrTer_1.0,Pyrenophora teres,Pyrenophora teres,0-1,0-1
GCA_003231355.1_Ptr11137,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,11137,11137
GCA_003231325.2_CUR_Ptr134_2.0,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,134,134
GCA_003231365.1_Ptr239,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,239,239
GCA_025541535.1_ASM2554153v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,331-2,331-2
GCA_003231345.1_Ptr5213,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,5213,5213
GCA_003231425.2_Ptr86-124.v2,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,86-124,86-124
GCA_025541415.1_ASM2554141v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,90-2,90-2
GCA_025541315.1_ASM2554131v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,92-171R5,92-171R5
GCA_025541595.1_ASM2554159v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,AB88-2,AB88-2
GCA_018492725.1_NDSU_Ptr_ARCrossB10_PacBio,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,AR CrossB10,AR CrossB10
GCA_003171545.1_PtrARCrossB10,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,ARCrossB10,ARCrossB10
GCA_025544635.1_ASM2554463v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,ASC1,ASC1
GCA_025536715.1_ASM2553671v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,AZ35-5,AZ35-5
GCA_022544795.1_ASM2254479v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,Alg130,Alg130
GCA_022544805.1_ASM2254480v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,Alg215,Alg215
GCA_025541375.1_ASM2554137v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,Alg3-24,Alg3-24
GCA_025541335.1_ASM2554133v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,Alg4x-1,Alg4x-1
GCA_025536725.1_ASM2553672v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,AlgH1,AlgH1
GCA_022813025.1_PTR_B91,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,Biotrigo9-1,Biotrigo9-1
GCA_022788515.1_ASM2278851v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,CC142,CC142
GCA_025558015.1_ASM2555801v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,D308,D308
GCA_003231415.2_CUR_PtrDW5_2.1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,DW5,DW5
GCA_022788505.1_ASM2278850v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,EW306-2-1,EW306-2-1
GCA_022788405.1_ASM2278840v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,EW4-4,EW4-4
GCA_022788435.1_ASM2278843v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,EW7m1,EW7m1
GCA_025541395.1_ASM2554139v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,G9-4,G9-4
GCA_025541075.1_ASM2554107v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,I-17-2,I-17-2
GCA_025544595.1_ASM2554459v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,I-33-1,I-33-1
GCA_025558035.1_ASM2555803v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,I-34-1,I-34-1
GCA_025541035.1_ASM2554103v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,I-34-5,I-34-5
GCA_025557995.1_ASM2555799v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,I-35-18,I-35-18
GCA_025541055.1_ASM2554105v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,I-35-56,I-35-56
GCA_025541095.1_ASM2554109v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,I-36-1,I-36-1
GCA_025541495.1_ASM2554149v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,I-72-1,I-72-1
GCA_025541475.1_ASM2554147v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,I-72-7,I-72-7
GCA_025557955.1_ASM2555795v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,I-73-1,I-73-1
GCA_022813065.1_ASM2281306v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,L13-192,L13-192
GCA_025541685.1_ASM2554168v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,L2-1,L2-1
GCA_025544615.1_ASM2554461v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,L3-1,L3-1
GCA_025544575.1_ASM2554457v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,L4-1,L4-1
GCF_003171515.1_CUR_PTRM4_2.2,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,M4,M4
GCA_022837075.1_CUR_Ptr902_1.0,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,Ptr90-2,Ptr90-2
GCA_025541405.1_ASM2554140v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,SC29-1,SC29-1
GCA_022788415.1_ASM2278841v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,SN001A,SN001A
GCA_022788445.1_ASM2278844v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,SN001C,SN001C
GCA_022788425.1_ASM2278842v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,SN002B,SN002B
GCA_025541575.1_ASM2554157v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,SW1-2,SW1-2
GCA_025541515.1_ASM2554151v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,SW15-1,SW15-1
GCA_025544535.1_ASM2554453v1,Pyrenophora tritici-repentis,Pyrenophora tritici-repentis,SW2-1,SW2-1
